28562982.640, 603.2;
28562993.181, 603.0;
28563003.695, 601.8;
28563012.124, 601.6;
28563022.726, 602.0;
28563033.224, 600.9;
28563043.679, 601.1;
28563052.099, 599.8;
28563062.633, 598.8;
28563073.037, 599.6;
28563083.552, 600.3;
28563093.971, 600.2;
28563102.345, 599.8;
28563112.861, 599.0;
28563123.293, 599.4;
28563133.719, 600.4;
28563142.089, 598.6;
28563152.574, 599.7;
28563163.154, 598.8;
28563173.621, 598.5;
28563182.087, 597.0;
28563192.592, 597.5;
28563203.038, 598.4;
28563213.629, 598.2;
28563222.007, 598.4;
28563232.568, 597.7;
28563243.081, 597.7;
28563253.578, 597.3;
28563261.926, 597.0;
28563272.424, 597.9;
28563282.903, 596.7;
28563293.403, 596.7;
28563303.856, 596.8;
28563312.330, 595.0;
28563322.824, 594.5;
28563333.257, 595.0;
28563343.710, 594.9;
28563352.104, 596.1;
28563362.606, 595.7;
28563373.104, 594.9;
28563383.508, 593.9;
28563393.973, 593.1;
28563402.368, 593.6;
28563412.836, 593.6;
28563423.272, 594.5;
28563433.748, 594.6;
28563442.126, 595.1;
28563452.598, 595.1;
28563463.064, 595.6;
28563473.449, 595.9;
28563483.875, 595.1;
28563492.199, 593.9;
28563502.589, 595.5;
28563513.012, 594.1;
28563523.554, 592.5;
28563531.920, 594.1;
28563542.325, 592.7;
28563552.806, 593.5;
28563563.274, 592.3;
28563573.722, 592.9;
28563582.176, 591.0;
28563592.673, 591.0;
28563603.124, 589.7;
28563613.598, 588.5;
28563621.940, 588.4;
28563632.409, 587.4;
28563642.890, 587.5;
28563653.297, 585.8;
28563663.778, 586.2;
28563672.095, 585.7;
28563682.525, 585.4;
28563693.012, 585.0;
28563703.574, 583.0;
28563711.934, 583.7;
28563722.443, 584.5;
28563732.927, 583.5;
28563743.379, 582.6;
28563753.845, 583.8;
28563762.304, 583.4;
28563772.802, 582.8;
28563783.239, 583.7;
28563793.721, 583.5;
28563802.080, 581.7;
28563812.565, 580.8;
28563823.041, 580.3;
28563833.514, 579.4;
28563841.965, 582.4;
28563852.447, 581.7;
28563862.931, 581.9;
28563873.459, 582.0;
28563883.942, 580.1;
28563892.288, 579.8;
28563902.712, 579.5;
28563913.196, 579.5;
28563923.689, 579.3;
28563932.112, 580.7;
28563942.659, 580.9;
28563953.141, 579.6;
28563963.577, 579.9;
28563972.020, 581.2;
28563982.423, 577.8;
28563992.936, 580.2;
28564003.417, 580.5;
28564013.920, 578.2;
28564022.296, 578.7;
28564032.748, 579.0;
28564043.226, 578.8;
28564053.663, 579.4;
28564062.044, 577.9;
28564072.476, 578.4;
28564082.930, 577.8;
28564093.331, 577.1;
28564103.816, 577.5;
28564112.221, 577.5;
28564122.812, 577.1;
28564133.346, 576.5;
28564143.721, 575.9;
28564152.077, 576.2;
28564162.497, 576.8;
28564172.950, 576.2;
28564183.389, 576.2;
28564193.851, 575.8;
28564202.323, 575.6;
28564212.825, 573.9;
28564223.335, 573.2;
28564233.848, 573.5;
28564242.214, 572.3;
28564252.681, 573.4;
28564263.142, 571.1;
28564273.615, 571.3;
28564282.056, 571.8;
28564292.504, 573.0;
28564302.958, 571.5;
28564313.374, 569.2;
28564323.808, 569.8;
28564332.129, 568.6;
28564342.669, 568.6;
28564353.155, 558.4;
28564363.592, 567.1;
28564371.967, 568.3;
28564382.389, 569.4;
28564392.822, 568.9;
28564403.317, 567.8;
28564413.697, 568.4;
28564422.041, 566.8;
28564432.614, 567.9;
28564443.179, 567.2;
28564453.782, 567.8;
28564462.175, 566.9;
28564472.642, 564.3;
28564483.094, 564.2;
28564493.528, 563.6;
28564501.898, 563.2;
28564512.374, 561.7;
28564522.811, 558.2;
28564533.267, 543.9;
28564543.734, 563.8;
28564552.151, 564.5;
28564562.554, 564.2;
28564572.984, 564.5;
28564583.424, 560.1;
28564591.930, 560.0;
28564602.341, 555.4;
28564612.826, 556.9;
28564623.252, 556.2;
28564633.756, 558.7;
28564642.170, 556.7;
28564652.638, 557.6;
28564663.163, 559.5;
28564673.709, 558.1;
28564682.112, 553.9;
28564692.593, 556.3;
28564703.098, 558.1;
28564713.558, 557.8;
28564721.982, 557.9;
