#1	
float	4DLUT(60025,2)
163	0.431034
164	0.465517
165	0.5
166	0.5
167	0.5
168	0.5
169	0.5
170	0.5
171	0.5
172	0.5
173	0.5
174	0.5
175	0.5
176	0.5
177	0.5
178	0.5
179	0.5
180	0.5
181	0.5
182	0.5
183	0.5
184	0.482759
185	0.456897
186	0.439655
187	0.413793
188	0.396552
189	0.37931
190	0.353448
191	0.327586
192	0.284483
193	0.25
194	0.215517
195	0.172414
196	0.137931
197	0
198	0
199	0.051724
200	0.068966
201	0.112069
202	0.137931
203	0.181034
204	0.206897
205	0.25
206	0.275862
207	0.318966
208	0.336207
209	0.387931
210	0.405172
211	0.448276
212	0.474138
213	0.508621
214	0.543103
215	0.543103
216	0.543103
217	0.543103
218	0.543103
219	0.543103
220	0.543103
221	0.543103
222	0.543103
223	0.543103
224	0.543103
225	0.543103
226	0.543103
227	0.543103
228	0.543103
229	0.543103
230	0.543103
231	0.543103
232	0.543103
233	0.517241
234	0.491379
235	0.474138
236	0.448276
237	0.431034
238	0.405172
239	0.37931
240	0.362069
241	0.318966
242	0.293103
243	0.25
244	0.206897
245	0.172414
246	0
247	0
248	0.051724
249	0.077586
250	0.12069
251	0.146552
252	0.198276
253	0.224138
254	0.267241
255	0.293103
256	0.344828
257	0.362069
258	0.413793
259	0.439655
260	0.482759
261	0.508621
262	0.543103
263	0.586207
264	0.586207
265	0.586207
266	0.586207
267	0.586207
268	0.586207
269	0.586207
270	0.586207
271	0.586207
272	0.586207
273	0.586207
274	0.586207
275	0.586207
276	0.586207
277	0.586207
278	0.586207
279	0.586207
280	0.586207
281	0.586207
282	0.560345
283	0.534483
284	0.508621
285	0.482759
286	0.465517
287	0.439655
288	0.413793
289	0.387931
290	0.344828
291	0.318966
292	0.284483
293	0.241379
294	0.206897
295	0
296	0
297	0.051724
298	0.077586
299	0.12931
300	0.155172
301	0.206897
302	0.232759
303	0.284483
304	0.310345
305	0.362069
306	0.387931
307	0.439655
308	0.465517
309	0.508621
310	0.543103
311	0.577586
312	0.62069
313	0.62069
314	0.62069
315	0.62069
316	0.62069
317	0.62069
318	0.62069
319	0.62069
320	0.62069
321	0.62069
322	0.62069
323	0.62069
324	0.62069
325	0.62069
326	0.62069
327	0.62069
328	0.62069
329	0.62069
330	0.62069
331	0.594828
332	0.568966
333	0.543103
334	0.517241
335	0.491379
336	0.465517
337	0.439655
338	0.413793
339	0.362069
340	0.336207
341	0.310345
342	0.258621
343	0.232759
344	0
345	0
346	0.060345
347	0.086207
348	0.137931
349	0.163793
350	0.224138
351	0.25
352	0.301724
353	0.336207
354	0.387931
355	0.413793
356	0.474138
357	0.5
358	0.543103
359	0.577586
360	0.62069
361	0.663793
362	0.663793
363	0.663793
364	0.663793
365	0.663793
366	0.663793
367	0.663793
368	0.663793
369	0.663793
370	0.663793
371	0.663793
372	0.663793
373	0.663793
374	0.663793
375	0.663793
376	0.663793
377	0.663793
378	0.663793
379	0.663793
380	0.637931
381	0.603448
382	0.577586
383	0.551724
384	0.525862
385	0.5
386	0.465517
387	0.439655
388	0.387931
389	0.362069
390	0.327586
391	0.275862
392	0.25
393	0
394	0
395	0.060345
396	0.086207
397	0.146552
398	0.172414
399	0.232759
400	0.267241
401	0.318966
402	0.353448
403	0.413793
404	0.439655
405	0.5
406	0.525862
407	0.577586
408	0.62069
409	0.663793
410	0.715517
411	0.715517
412	0.715517
413	0.715517
414	0.715517
415	0.715517
416	0.715517
417	0.715517
418	0.715517
419	0.715517
420	0.715517
421	0.715517
422	0.715517
423	0.715517
424	0.715517
425	0.715517
426	0.715517
427	0.715517
428	0.715517
429	0.689655
430	0.655172
431	0.62931
432	0.594828
433	0.568966
434	0.543103
435	0.508621
436	0.482759
437	0.422414
438	0.396552
439	0.362069
440	0.301724
441	0.275862
442	0
443	0
444	0.068966
445	0.094828
446	0.155172
447	0.189655
448	0.25
449	0.284483
450	0.336207
451	0.37931
452	0.439655
453	0.465517
454	0.534483
455	0.560345
456	0.612069
457	0.655172
458	0.698276
459	0.758621
460	0.758621
461	0.758621
462	0.758621
463	0.758621
464	0.758621
465	0.758621
466	0.758621
467	0.758621
468	0.758621
469	0.758621
470	0.758621
471	0.758621
472	0.758621
473	0.758621
474	0.758621
475	0.758621
476	0.758621
477	0.758621
478	0.724138
479	0.689655
480	0.663793
481	0.62931
482	0.603448
483	0.568966
484	0.534483
485	0.508621
486	0.448276
487	0.413793
488	0.37931
489	0.318966
490	0.293103
491	0
492	0
493	0.068966
494	0.103448
495	0.163793
496	0.198276
497	0.258621
498	0.301724
499	0.353448
500	0.396552
501	0.465517
502	0.491379
503	0.560345
504	0.594828
505	0.646552
506	0.689655
507	0.732759
508	0.793103
509	0.793103
510	0.793103
511	0.793103
512	0.793103
513	0.793103
514	0.793103
515	0.793103
516	0.793103
517	0.793103
518	0.793103
519	0.793103
520	0.793103
521	0.793103
522	0.793103
523	0.793103
524	0.793103
525	0.793103
526	0.793103
527	0.758621
528	0.724138
529	0.689655
530	0.655172
531	0.62931
532	0.594828
533	0.560345
534	0.525862
535	0.465517
536	0.431034
537	0.396552
538	0.327586
539	0.301724
540	0
541	0
542	0.068966
543	0.103448
544	0.172414
545	0.206897
546	0.267241
547	0.310345
548	0.37069
549	0.413793
550	0.482759
551	0.517241
552	0.586207
553	0.62069
554	0.672414
555	0.724138
556	0.767241
557	0.827586
558	0.827586
559	0.827586
560	0.827586
561	0.827586
562	0.827586
563	0.827586
564	0.827586
565	0.827586
566	0.827586
567	0.827586
568	0.827586
569	0.827586
570	0.827586
571	0.827586
572	0.827586
573	0.827586
574	0.827586
575	0.827586
576	0.793103
577	0.758621
578	0.724138
579	0.689655
580	0.655172
581	0.62069
582	0.586207
583	0.551724
584	0.491379
585	0.448276
586	0.413793
587	0.344828
588	0.310345
589	0
590	0
591	0.077586
592	0.112069
593	0.181034
594	0.215517
595	0.284483
596	0.327586
597	0.387931
598	0.439655
599	0.508621
600	0.543103
601	0.612069
602	0.655172
603	0.706897
604	0.758621
605	0.810345
606	0.87069
607	0.87069
608	0.87069
609	0.87069
610	0.87069
611	0.87069
612	0.87069
613	0.87069
614	0.87069
615	0.87069
616	0.87069
617	0.87069
618	0.87069
619	0.87069
620	0.87069
621	0.87069
622	0.87069
623	0.87069
624	0.87069
625	0.836207
626	0.793103
627	0.758621
628	0.724138
629	0.689655
630	0.655172
631	0.612069
632	0.577586
633	0.517241
634	0.474138
635	0.431034
636	0.362069
637	0.327586
638	0
639	0
640	0.077586
641	0.112069
642	0.189655
643	0.224138
644	0.293103
645	0.344828
646	0.405172
647	0.456897
648	0.525862
649	0.568966
650	0.637931
651	0.681034
652	0.741379
653	0.793103
654	0.844828
655	0.913793
656	0.913793
657	0.913793
658	0.913793
659	0.913793
660	0.913793
661	0.913793
662	0.913793
663	0.913793
664	0.913793
665	0.913793
666	0.913793
667	0.913793
668	0.913793
669	0.913793
670	0.913793
671	0.913793
672	0.913793
673	0.913793
674	0.87931
675	0.836207
676	0.801724
677	0.758621
678	0.724138
679	0.689655
680	0.646552
681	0.612069
682	0.543103
683	0.5
684	0.456897
685	0.387931
686	0.344828
687	0
688	0
689	0.077586
690	0.112069
691	0.189655
692	0.224138
693	0.293103
694	0.344828
695	0.405172
696	0.465517
