#1	
double	T_HTF_inlet(2502,2)
7131332.654	24.14
7131342.655	24.13
7131352.655	24.13
7131362.706	24.14
7131372.656	24.13
7131382.656	24.14
7131392.707	24.14
7131402.707	24.13
7131412.658	24.14
7131422.658	24.12
7131432.659	24.14
7131442.709	24.13
7131452.709	24.16
7131462.710	24.14
7131472.660	24.14
7131482.711	24.14
7131492.711	24.12
7131502.712	24.13
7131512.712	24.13
7131522.712	24.12
7131532.663	24.12
7131542.663	24.11
7131552.714	24.11
7131562.664	24.12
7131572.665	24.11
7131582.715	24.11
7131592.665	24.10
7131602.716	24.12
7131612.716	24.10
7131622.667	24.11
7131632.667	24.09
7131642.668	24.09
7131652.718	24.10
7131662.668	24.10
7131672.719	24.08
7131682.719	24.08
7131692.670	24.07
7131702.670	24.09
7131712.671	24.08
7131722.721	24.07
7131732.721	24.07
7131742.722	24.08
7131752.722	24.09
7131762.723	24.08
7131772.723	24.09
7131782.724	24.08
7131792.674	24.09
7131802.674	24.09
7131812.675	24.09
7131822.675	24.09
7131832.676	24.08
7131842.726	24.09
7131852.677	24.08
7131862.727	24.09
7131872.727	24.09
7131882.678	24.09
7131892.678	24.08
7131902.679	24.08
7131912.729	24.08
7131922.730	24.08
7131932.730	24.07
7131942.730	24.07
7131952.681	24.08
7131962.731	24.08
7131972.732	24.07
7131982.682	24.06
7131992.733	24.06
7132002.733	24.07
7132012.733	24.06
7132022.734	24.07
7132032.734	24.07
7132042.735	24.06
7132052.735	24.06
7132062.736	24.07
7132072.736	24.09
7132082.686	24.08
7132092.737	24.07
7132102.737	24.07
7132112.738	24.08
7132122.688	24.08
7132132.689	24.09
7132142.739	24.10
7132152.739	24.08
7132162.690	24.07
7132172.740	24.08
7132182.741	24.08
7132192.691	24.08
7132202.692	24.08
7132212.742	24.07
7132222.692	24.07
7132232.693	24.07
7132242.693	24.07
7132252.744	24.06
7132262.694	24.07
7132272.745	24.06
7132282.745	24.05
7132292.745	24.05
7132302.696	24.06
7132312.696	24.05
7132322.747	24.04
7132332.697	24.05
7132342.748	24.03
7132352.748	24.03
7132362.748	24.03
7132372.749	24.03
7132382.699	24.02
