#1					
float	DNI_THTFin_vdot(1775,6)				
7122002.459	1.0	300.74	0.000000000	0.00	298.98
7122012.409	1.0	300.73	0.000000000	0.00	298.95
7122022.460	1.0	300.74	0.000000000	0.00	298.95
7122032.460	1.0	300.75	0.000000000	0.00	298.95
7122042.411	1.0	300.74	0.000000000	0.00	298.93
7122052.411	1.0	300.75	0.000000000	0.00	298.92
7122062.412	1.0	300.75	0.000000000	0.00	298.92
7122072.462	1.0	300.75	0.000000000	0.00	298.91
7122082.412	1.0	300.75	0.000000000	0.00	298.89
7122092.463	0.9	300.76	0.000000000	0.00	298.88
7122102.463	1.0	300.75	0.000000000	0.00	298.88
7122112.464	1.0	300.76	0.000000000	0.00	298.86
7122122.414	1.0	300.77	0.000000000	0.00	298.86
7122132.465	1.0	300.77	0.000000000	0.00	298.84
7122142.465	1.0	300.77	0.000000000	0.00	298.84
7122152.415	1.0	300.77	0.000000000	0.00	298.84
7122162.466	1.0	300.78	0.000000000	0.00	298.81
7122172.416	1.0	300.77	0.000000000	0.00	298.80
7122182.467	0.9	300.78	0.000000000	0.00	298.80
7122192.467	0.9	300.78	0.000000000	0.00	298.80
7122202.468	1.0	300.77	0.000000000	0.00	298.79
7122212.468	1.0	300.77	0.000000000	0.00	298.77
7122222.468	1.0	300.76	0.000000000	0.00	298.77
7122232.469	0.9	300.75	0.000000000	0.00	298.77
7122242.469	1.0	300.77	0.000000000	0.00	298.75
7122252.470	1.0	300.77	0.000000000	0.00	298.75
7122262.420	1.0	300.77	0.000000000	0.00	298.73
7122272.471	1.0	300.77	0.000000000	0.00	298.72
7122282.471	1.0	300.75	0.000000000	0.00	298.71
7122292.471	1.0	300.76	0.000000000	0.00	298.71
7122302.422	1.0	300.79	0.000000000	0.00	298.69
7122312.422	1.0	300.81	0.000000000	0.00	298.69
7122322.473	1.0	300.83	0.000000000	0.00	298.67
7122332.473	0.9	300.84	0.000000000	0.00	298.67
7122342.474	1.0	300.84	0.000000000	0.00	298.68
7122352.474	1.0	300.83	0.000000000	0.00	298.65
7122362.424	1.0	300.82	0.000000000	0.00	298.65
7122372.475	1.0	300.82	0.000000000	0.00	298.64
7122382.475	1.0	300.82	0.000000000	0.00	298.64
7122392.476	1.0	300.82	0.000000000	0.00	298.64
7122402.476	1.0	300.82	0.000000000	0.00	298.62
7122412.477	1.0	300.81	0.000000000	0.00	298.61
7122422.477	1.0	300.81	0.000000000	0.00	298.60
7122432.427	1.0	300.81	0.000000000	0.00	298.60
7122442.428	1.0	300.80	0.000000000	0.00	298.58
7122452.478	1.0	300.79	0.000000000	0.00	298.59
7122462.429	1.0	300.81	0.000000000	0.00	298.57
7122472.429	1.0	300.81	0.000000000	0.00	298.56
