#1	
float	DNI(1780,2)
7131772.723	1.2
7131782.724	1.1
7131792.674	1.1
7131802.674	1
7131812.675	1.1
7131822.675	1.1
7131832.676	1.1
7131842.726	1
7131852.677	1.1
7131862.727	1.1
7131872.727	1.1
7131882.678	1.1
7131892.678	1.1
7131902.679	1.2
7131912.729	1.1
7131922.73	1.1
7131932.73	1.2
7131942.73	1.1
7131952.681	1.1
7131962.731	1.1
7131972.732	1.1
7131982.682	1.2
7131992.733	1.1
7132002.733	1.2
7132012.733	1.1
7132022.734	1.1
7132032.734	1.1
7132042.735	1.1
7132052.735	1.1
7132062.736	1.1
7132072.736	1.2
7132082.686	1.1
7132092.737	1.2
7132102.737	1.1
7132112.738	1.1
7132122.688	1.1
7132132.689	1.1
7132142.739	1.1
7132152.739	1.1
7132162.69	1.2
7132172.74	1.1
7132182.741	1.2
7132192.691	1.2
7132202.692	1.1
7132212.742	1.2
7132222.692	1.2
7132232.693	1.1
7132242.693	1.1
7132252.744	1.1
7132262.694	1.1
7132272.745	1.1
7132282.745	1.1
7132292.745	1.1
7132302.696	1.1
7132312.696	1.2
7132322.747	1.1
7132332.697	1.2
7132342.748	1.2
7132352.748	1.1
7132362.748	1.2
7132372.749	1.1
7132382.699	1.2
7132392.75	1.1
7132402.7	1.1
7132412.751	1.2
7132422.751	1.1
7132432.701	1.1
7132442.752	1.2
7132452.752	1.2
7132462.753	1.1
7132472.703	1.2
7132482.754	1.1
7132492.704	1.2
7132502.754	1.2
7132512.755	1.2
7132522.755	1.2
7132532.756	1.2
7132542.756	1.2
7132552.757	1.2
7132562.707	1.2
7132572.707	1.2
7132582.758	1.1
7132592.708	1.2
7132602.709	1.1
7132612.759	1.1
7132622.76	1.2
7132632.76	1.2
7132642.76	1.2
7132652.761	1.1
7132662.761	1.1
7132672.762	1.1
7132682.712	1.2
7132692.713	1.1
7132702.763	1.2
7132712.763	1.1
7132722.714	1.2
7132732.764	1.2
7132742.765	1.1
7132752.765	1.2
7132762.766	1.2
7132772.766	1.2
7132782.766	1.1
7132792.767	1.2
7132802.767	1.2
7132812.768	1.1
7132822.768	1.2
7132832.719	1.2
7132842.719	1.1
7132852.769	1.1
7132862.72	1.2
7132872.77	1.2
7132882.771	1.2
7132892.721	1.2
7132902.772	1.1
7132912.772	1.2
7132922.722	1.2
7132932.723	1.2
7132942.773	1.2
7132952.724	1.2
7132962.774	1.2
7132972.775	1.2
7132982.775	1.1
7132992.725	1.2
7133002.776	1.2
7133012.776	1.2
7133022.777	1.2
7133032.777	1.1
7133042.778	1.2
7133052.728	1.1
7133062.778	1.2
7133072.779	1.2
7133082.779	1.2
7133092.73	1.2
7133102.78	1.2
7133112.781	1.1
7133122.781	1.2
7133132.731	1.2
7133142.782	1.2
7133152.732	1.2
7133162.733	1.2
7133172.783	1.1
7133182.783	1.2
7133192.734	1.2
7133202.784	1.2
7133212.735	1.2
7133222.785	1.2
7133232.786	1.2
7133242.736	1.2
7133252.786	1.2
7133262.737	1.2
7133272.787	1.2
7133282.788	1.1
7133292.788	1.1
7133302.789	1.2
7133312.789	1.2
7133322.789	1.2
7133332.74	1.2
7133342.74	1.2
7133352.791	1.2
7133362.741	1.2
7133372.742	1.2
7133382.742	1.1
7133392.792	1.2
7133402.743	1.2
7133412.793	1.2
7133422.794	1.2
7133432.744	1.1
7133442.745	1.1
7133452.795	1.1
7133462.795	1.2
7133472.746	1.2
7133482.796	1.1
7133492.797	1.2
7133502.797	1.1
7133512.798	1.1
7133522.798	1.2
7133532.748	1.1
7133542.749	1.1
7133552.749	1.2
7133562.8	1.2
7133572.75	1.1
7133582.751	1.2
7133592.751	1.2
7133602.751	1.1
7133612.802	1.2
7133622.802	1.1
7133632.753	1.2
7133642.753	1.2
7133652.804	1.1
7133662.804	1.2
7133672.804	1.1
7133682.805	1.2
7133692.805	1.2
7133702.806	1.2
7133712.756	1.1
7133722.807	1.1
7133732.807	1.2
7133742.757	1.2
7133752.808	1.2
7133762.808	1.2
7133772.759	1.1
7133782.809	1.1
7133792.76	1.1
7133802.76	1.2
7133812.76	1.2
7133822.761	1.2
7133832.811	1.1
7133842.812	1.2
7133852.762	1.2
7133862.763	1.2
7133872.813	1.2
7133882.813	1.2
7133892.814	1.1
7133902.764	1.1
7133912.765	1.1
7133922.765	1.1
7133932.766	1.2
7133942.816	1.1
7133952.816	1.1
7133962.767	1.1
7133972.767	1.1
7133982.818	1.1
7133992.818	1.2
7134002.769	1.1
7134012.769	1.2
7134022.819	1.2
7134032.77	1.2
7134042.82	1.1
7134052.821	1.1
7134062.821	1.1
7134072.772	1.1
7134082.772	1.1
7134092.772	1.2
7134102.823	1.1
7134112.773	1.1
7134122.824	1.2
7134132.824	1.1
7134142.775	1.2
7134152.775	1.1
7134162.775	1.2
7134172.776	1.2
7134182.776	1.2
