#1	
float	Tpump(1780,2)
7128732.543	298.6
7128742.593	298.58
7128752.594	298.59
7128762.594	298.57
7128772.595	298.58
7128782.595	298.58
7128792.596	298.57
7128802.546	298.57
7128812.546	298.55
7128822.597	298.55
7128832.597	298.54
7128842.598	298.53
7128852.598	298.53
7128862.599	298.52
7128872.549	298.49
7128882.599	298.49
7128892.6	298.48
7128902.6	298.47
7128912.601	298.47
7128922.551	298.47
7128932.602	298.47
7128942.552	298.44
7128952.602	298.44
7128962.603	298.44
7128972.553	298.42
7128982.604	298.43
7128992.554	298.4
7129002.605	298.41
7129012.555	298.4
7129022.605	298.38
7129032.606	298.37
7129042.556	298.36
7129052.557	298.34
7129062.607	298.33
7129072.558	298.33
7129082.558	298.32
7129092.608	298.31
7129102.609	298.3
7129112.559	298.31
7129122.61	298.3
7129132.61	298.26
7129142.611	298.26
7129152.561	298.24
7129162.611	298.24
7129172.612	298.23
7129182.612	298.23
7129192.613	298.22
7129202.613	298.2
7129212.614	298.22
7129222.614	298.19
7129232.614	298.19
7129242.615	298.18
7129252.615	298.16
7129262.566	298.15
7129272.616	298.15
7129282.617	298.14
7129292.617	298.13
7129302.617	298.12
7129312.618	298.12
7129322.618	298.11
7129332.619	298.11
7129342.619	298.11
7129352.57	298.09
7129362.62	298.09
7129372.62	298.09
7129382.621	298.09
7129392.621	298.07
7129402.622	298.06
7129412.622	298.06
7129422.623	298.05
7129432.623	298.05
7129442.623	298.04
7129452.574	298.02
7129462.574	298.02
7129472.625	298.02
7129482.625	298.02
7129492.626	298
7129502.626	297.99
7129512.626	297.99
7129522.627	297.97
7129532.627	297.97
7129542.628	297.97
7129552.628	297.96
7129562.629	297.94
7129572.579	297.94
7129582.579	297.94
7129592.58	297.93
7129602.63	297.93
7129612.631	297.92
7129622.631	297.91
7129632.582	297.9
7129642.582	297.88
7129652.582	297.88
7129662.633	297.86
7129672.583	297.86
7129682.584	297.84
7129692.634	297.82
7129702.635	297.82
7129712.585	297.81
7129722.585	297.82
7129732.636	297.8
7129742.636	297.78
7129752.637	297.76
7129762.637	297.76
7129772.638	297.75
7129782.638	297.75
7129792.638	297.76
7129802.639	297.74
7129812.589	297.73
7129822.64	297.72
7129832.64	297.72
7129842.641	297.71
7129852.641	297.7
7129862.591	297.7
7129872.642	297.7
7129882.592	297.69
7129892.643	297.68
7129902.643	297.68
7129912.644	297.68
7129922.594	297.69
7129932.594	297.68
7129942.595	297.68
7129952.595	297.68
7129962.596	297.66
7129972.646	297.66
7129982.647	297.66
7129992.597	297.65
7130002.597	297.66
7130012.648	297.65
7130022.648	297.66
7130032.599	297.65
7130042.649	297.66
7130052.6	297.66
7130062.6	297.66
7130072.65	297.66
7130082.651	297.65
7130092.651	297.67
7130102.652	297.65
7130112.652	297.65
7130122.603	297.66
7130132.653	297.65
7130142.653	297.65
7130152.654	297.65
7130162.654	297.64
7130172.605	297.63
7130182.655	297.62
7130192.606	297.62
7130202.606	297.62
7130212.606	297.62
7130222.657	297.62
7130232.657	297.63
7130242.658	297.61
7130252.658	297.62
7130262.659	297.61
7130272.659	297.6
7130282.609	297.61
7130292.61	297.61
7130302.66	297.59
7130312.661	297.58
7130322.611	297.57
7130332.662	297.58
7130342.662	297.57
7130352.662	297.58
7130362.613	297.57
7130372.663	297.58
7130382.614	297.56
7130392.614	297.57
7130402.615	297.56
7130412.665	297.56
7130422.665	297.56
7130432.666	297.55
7130442.666	297.56
7130452.617	297.55
7130462.617	297.53
7130472.618	297.53
7130482.668	297.52
7130492.668	297.53
7130502.669	297.51
7130512.619	297.52
7130522.67	297.51
7130532.67	297.5
7130542.67	297.5
7130552.671	297.5
7130562.621	297.49
7130572.672	297.49
7130582.622	297.47
7130592.673	297.48
7130602.673	297.47
7130612.673	297.46
7130622.624	297.46
7130632.674	297.45
7130642.625	297.46
7130652.625	297.44
7130662.676	297.44
7130672.676	297.45
7130682.676	297.45
7130692.677	297.44
7130702.627	297.44
7130712.678	297.44
7130722.678	297.41
7130732.629	297.42
7130742.679	297.39
7130752.629	297.39
7130762.68	297.38
7130772.63	297.37
7130782.681	297.36
7130792.631	297.37
7130802.632	297.36
7130812.682	297.37
7130822.632	297.37
7130832.633	297.36
7130842.683	297.36
7130852.634	297.37
7130862.684	297.36
7130872.635	297.35
7130882.685	297.36
7130892.635	297.35
7130902.636	297.35
7130912.636	297.35
7130922.637	297.33
7130932.637	297.33
7130942.688	297.33
7130952.638	297.34
7130962.638	297.32
7130972.689	297.32
7130982.639	297.33
7130992.64	297.32
7131002.69	297.33
7131012.691	297.33
7131022.641	297.32
7131032.691	297.32
7131042.642	297.33
7131052.692	297.31
7131062.643	297.32
7131072.643	297.31
7131082.694	297.32
7131092.644	297.32
7131102.694	297.32
7131112.695	297.3
7131122.645	297.3
7131132.696	297.31
7131142.696	297.3
7131152.647	297.31
7131162.697	297.3
7131172.697	297.31
7131182.698	297.3
7131192.698	297.3
7131202.649	297.29
7131212.699	297.29
7131222.7	297.3
7131232.65	297.3
7131242.65	297.29
7131252.651	297.29
7131262.651	297.29
7131272.652	297.28
7131282.652	297.27
7131292.703	297.28
7131302.703	297.28
7131312.703	297.27
7131322.704	297.28
7131332.654	297.29
7131342.655	297.28
7131352.655	297.28
7131362.706	297.29
7131372.656	297.28
7131382.656	297.29
7131392.707	297.29
7131402.707	297.28
7131412.658	297.29
7131422.658	297.27
7131432.659	297.29
7131442.709	297.28
7131452.709	297.31
7131462.71	297.29
7131472.66	297.29
7131482.711	297.29
7131492.711	297.27
7131502.712	297.28
7131512.712	297.28
7131522.712	297.27
7131532.663	297.27
7131542.663	297.26
7131552.714	297.26
7131562.664	297.27
7131572.665	297.26
7131582.715	297.26
7131592.665	297.25
7131602.716	297.27
7131612.716	297.25
7131622.667	297.26
7131632.667	297.24
7131642.668	297.24
7131652.718	297.25
7131662.668	297.25
7131672.719	297.23
7131682.719	297.23
7131692.67	297.22
7131702.67	297.24
7131712.671	297.23
7131722.721	297.22
7131732.721	297.22
7131742.722	297.23
7131752.722	297.24
7131762.723	297.23
7131772.723	297.24
7131782.724	297.23
7131792.674	297.24
7131802.674	297.24
7131812.675	297.24
7131822.675	297.24
7131832.676	297.23
7131842.726	297.24
7131852.677	297.23
7131862.727	297.24
7131872.727	297.24
7131882.678	297.24
7131892.678	297.23
7131902.679	297.23
7131912.729	297.23
7131922.73	297.23
7131932.73	297.22
7131942.73	297.22
7131952.681	297.23
7131962.731	297.23
7131972.732	297.22
7131982.682	297.21
7131992.733	297.21
7132002.733	297.22
7132012.733	297.21
7132022.734	297.22
7132032.734	297.22
7132042.735	297.21
7132052.735	297.21
7132062.736	297.22
7132072.736	297.24
7132082.686	297.23
7132092.737	297.22
7132102.737	297.22
7132112.738	297.23
7132122.688	297.23
7132132.689	297.24
7132142.739	297.25
7132152.739	297.23
7132162.69	297.22
7132172.74	297.23
7132182.741	297.23
7132192.691	297.23
7132202.692	297.23
7132212.742	297.22
7132222.692	297.22
7132232.693	297.22
7132242.693	297.22
7132252.744	297.21
7132262.694	297.22
7132272.745	297.21
7132282.745	297.2
7132292.745	297.2
7132302.696	297.21
7132312.696	297.2
7132322.747	297.19
7132332.697	297.2
7132342.748	297.18
7132352.748	297.18
7132362.748	297.18
7132372.749	297.18
7132382.699	297.17
7132392.75	297.17
7132402.7	297.18
7132412.751	297.16
7132422.751	297.18
7132432.701	297.17
7132442.752	297.17
7132452.752	297.19
7132462.753	297.17
7132472.703	297.18
7132482.754	297.19
7132492.704	297.19
7132502.754	297.19
7132512.755	297.19
7132522.755	297.19
7132532.756	297.19
7132542.756	297.18
7132552.757	297.19
7132562.707	297.19
7132572.707	297.18
7132582.758	297.19
7132592.708	297.18
7132602.709	297.17
7132612.759	297.18
7132622.76	297.19
7132632.76	297.18
7132642.76	297.18
7132652.761	297.19
7132662.761	297.19
7132672.762	297.19
7132682.712	297.2
7132692.713	297.19
7132702.763	297.18
7132712.763	297.19
7132722.714	297.18
7132732.764	297.19
7132742.765	297.18
7132752.765	297.18
7132762.766	297.17
7132772.766	297.18
7132782.766	297.17
7132792.767	297.17
7132802.767	297.17
7132812.768	297.17
7132822.768	297.16
7132832.719	297.18
7132842.719	297.16
7132852.769	297.17
7132862.72	297.17
7132872.77	297.17
7132882.771	297.16
7132892.721	297.17
7132902.772	297.16
7132912.772	297.16
7132922.722	297.16
7132932.723	297.14
7132942.773	297.14
