#1	
double	mdot(2501,2)
7128862.599	0.00
7128872.549	0.00
7128882.599	0.00
7128892.600	0.00
7128902.600	0.00
7128912.601	0.00
7128922.551	0.00
7128932.602	0.00
7128942.552	0.00
7128952.602	0.00
7128962.603	0.00
7128972.553	0.00
7128982.604	0.00
7128992.554	0.00
7129002.605	0.00
7129012.555	0.00
7129022.605	0.00
7129032.606	0.00
7129042.556	0.00
7129052.557	0.00
7129062.607	0.00
7129072.558	0.00
7129082.558	0.00
7129092.608	0.00
7129102.609	0.00
7129112.559	0.00
7129122.610	0.00
7129132.610	0.00
7129142.611	0.00
7129152.561	0.00
7129162.611	0.00
7129172.612	0.00
7129182.612	0.00
7129192.613	0.00
7129202.613	0.00
7129212.614	0.00
7129222.614	0.00
7129232.614	0.00
7129242.615	0.00
7129252.615	0.00
7129262.566	0.00
7129272.616	0.00
7129282.617	0.00
7129292.617	0.00
7129302.617	0.00
7129312.618	0.00
7129322.618	0.00
7129332.619	0.00
7129342.619	0.00
7129352.570	0.00
7129362.620	0.00
7129372.620	0.00
7129382.621	0.00
7129392.621	0.00
7129402.622	0.00
7129412.622	0.00
7129422.623	0.00
7129432.623	0.00
7129442.623	0.00
7129452.574	0.00
7129462.574	0.00
7129472.625	0.00
7129482.625	0.00
7129492.626	0.00
7129502.626	0.00
7129512.626	0.00
7129522.627	0.00
7129532.627	0.00
7129542.628	0.00
7129552.628	0.00
7129562.629	0.00
7129572.579	0.00
7129582.579	0.00
7129592.580	0.00
7129602.630	0.00
7129612.631	0.00
7129622.631	0.00
7129632.582	0.00
7129642.582	0.00
7129652.582	0.00
7129662.633	0.00
7129672.583	0.00
7129682.584	0.00
7129692.634	0.00
7129702.635	0.00
7129712.585	0.00
7129722.585	0.00
7129732.636	0.00
7129742.636	0.00
7129752.637	0.00
7129762.637	0.00
7129772.638	0.00
7129782.638	0.00
7129792.638	0.00
7129802.639	0.00
7129812.589	0.00
7129822.640	0.00
7129832.640	0.00
7129842.641	0.00
7129852.641	0.00
7129862.591	0.00
7129872.642	0.00
7129882.592	0.00
7129892.643	0.00
7129902.643	0.00
7129912.644	0.00
7129922.594	0.00
7129932.594	0.00
7129942.595	0.00
7129952.595	0.00
7129962.596	0.00
7129972.646	0.00
7129982.647	0.00
7129992.597	0.00
7130002.597	0.00
7130012.648	0.00
7130022.648	0.00
7130032.599	0.00
7130042.649	0.00
7130052.600	0.00
7130062.600	0.00
7130072.650	0.00
7130082.651	0.00
7130092.651	0.00
7130102.652	0.00
7130112.652	0.00
7130122.603	0.00
7130132.653	0.00
7130142.653	0.00
7130152.654	0.00
7130162.654	0.00
7130172.605	0.00
7130182.655	0.00
7130192.606	0.00
7130202.606	0.00
7130212.606	0.00
7130222.657	0.00
7130232.657	0.00
7130242.658	0.00
7130252.658	0.00
7130262.659	0.00
7130272.659	0.00
7130282.609	0.00
7130292.610	0.00
7130302.660	0.00
7130312.661	0.00
7130322.611	0.00
7130332.662	0.00
7130342.662	0.00
7130352.662	0.00
7130362.613	0.00
7130372.663	0.00
7130382.614	0.00
7130392.614	0.00
7130402.615	0.00
7130412.665	0.00
7130422.665	0.00
7130432.666	0.00
7130442.666	0.00
7130452.617	0.00
7130462.617	0.00
7130472.618	0.00
7130482.668	0.00
7130492.668	0.00
7130502.669	0.00
7130512.619	0.00
7130522.670	0.00
7130532.670	0.00
7130542.670	0.00
7130552.671	0.00
7130562.621	0.00
7130572.672	0.00
7130582.622	0.00
7130592.673	0.00
7130602.673	0.00
7130612.673	0.00
7130622.624	0.00
7130632.674	0.00
7130642.625	0.00
7130652.625	0.00
7130662.676	0.00
7130672.676	0.00
7130682.676	0.00
7130692.677	0.00
7130702.627	0.00
7130712.678	0.00
7130722.678	0.00
7130732.629	0.00
7130742.679	0.00
7130752.629	0.00
7130762.680	0.00
7130772.630	0.00
7130782.681	0.00
7130792.631	0.00
7130802.632	0.00
7130812.682	0.00
7130822.632	0.00
7130832.633	0.00
7130842.683	0.00
7130852.634	0.00
7130862.684	0.00
7130872.635	0.00
7130882.685	0.00
7130892.635	0.00
7130902.636	0.00
7130912.636	0.00
7130922.637	0.00
7130932.637	0.00
7130942.688	0.00
7130952.638	0.00
7130962.638	0.00
7130972.689	0.00
7130982.639	0.00
7130992.640	0.00
7131002.690	0.00
7131012.691	0.00
7131022.641	0.00
7131032.691	0.00
7131042.642	0.00
7131052.692	0.00
7131062.643	0.00
7131072.643	0.00
7131082.694	0.00
7131092.644	0.00
7131102.694	0.00
7131112.695	0.00
7131122.645	0.00
7131132.696	0.00
7131142.696	0.00
7131152.647	0.00
7131162.697	0.00
7131172.697	0.00
7131182.698	0.00
7131192.698	0.00
7131202.649	0.00
7131212.699	0.00
7131222.700	0.00
7131232.650	0.00
7131242.650	0.00
7131252.651	0.00
7131262.651	0.00
7131272.652	0.00
7131282.652	0.00
7131292.703	0.00
7131302.703	0.00
7131312.703	0.00
7131322.704	0.00
7131332.654	0.00
7131342.655	0.00
7131352.655	0.00
7131362.706	0.00
7131372.656	0.00
7131382.656	0.00
7131392.707	0.00
7131402.707	0.00
7131412.658	0.00
7131422.658	0.00
7131432.659	0.00
7131442.709	0.00
7131452.709	0.00
7131462.710	0.00
7131472.660	0.00
7131482.711	0.00
7131492.711	0.00
7131502.712	0.00
7131512.712	0.00
7131522.712	0.00
7131532.663	0.00
7131542.663	0.00
7131552.714	0.00
7131562.664	0.00
7131572.665	0.00
7131582.715	0.00
7131592.665	0.00
7131602.716	0.00
7131612.716	0.00
7131622.667	0.00
7131632.667	0.00
7131642.668	0.00
7131652.718	0.00
7131662.668	0.00
7131672.719	0.00
7131682.719	0.00
7131692.670	0.00
7131702.670	0.00
7131712.671	0.00
7131722.721	0.00
7131732.721	0.00
7131742.722	0.00
7131752.722	0.00
7131762.723	0.00
7131772.723	0.00
7131782.724	0.00
7131792.674	0.00
7131802.674	0.00
7131812.675	0.00
7131822.675	0.00
7131832.676	0.00
7131842.726	0.00
7131852.677	0.00
7131862.727	0.00
7131872.727	0.00
7131882.678	0.00
7131892.678	0.00
7131902.679	0.00
7131912.729	0.00
7131922.730	0.00
7131932.730	0.00
7131942.730	0.00
7131952.681	0.00
7131962.731	0.00
7131972.732	0.00
7131982.682	0.00
7131992.733	0.00
7132002.733	0.00
7132012.733	0.00
7132022.734	0.00
7132032.734	0.00
7132042.735	0.00
7132052.735	0.00
7132062.736	0.00
7132072.736	0.00
7132082.686	0.00
7132092.737	0.00
7132102.737	0.00
7132112.738	0.00
7132122.688	0.00
7132132.689	0.00
7132142.739	0.00
7132152.739	0.00
7132162.690	0.00
7132172.740	0.00
7132182.741	0.00
7132192.691	0.00
7132202.692	0.00
7132212.742	0.00
7132222.692	0.00
7132232.693	0.00
7132242.693	0.00
7132252.744	0.00
7132262.694	0.00
7132272.745	0.00
7132282.745	0.00
7132292.745	0.00
7132302.696	0.00
7132312.696	0.00
7132322.747	0.00
7132332.697	0.00
7132342.748	0.00
7132352.748	0.00
7132362.748	0.00
7132372.749	0.00
7132382.699	0.00
7132392.750	0.00
7132402.700	0.00
7132412.751	0.00
7132422.751	0.00
7132432.701	0.00
7132442.752	0.00
7132452.752	0.00
7132462.753	0.00
7132472.703	0.00
7132482.754	0.00
7132492.704	0.00
7132502.754	0.00
7132512.755	0.00
7132522.755	0.00
7132532.756	0.00
7132542.756	0.00
7132552.757	0.00
7132562.707	0.00
7132572.707	0.00
7132582.758	0.00
7132592.708	0.00
7132602.709	0.00
7132612.759	0.00
7132622.760	0.00
7132632.760	0.00
7132642.760	0.00
7132652.761	0.00
7132662.761	0.00
7132672.762	0.00
7132682.712	0.00
7132692.713	0.00
7132702.763	0.00
7132712.763	0.00
7132722.714	0.00
7132732.764	0.00
7132742.765	0.00
7132752.765	0.00
7132762.766	0.00
7132772.766	0.00
7132782.766	0.00
7132792.767	0.00
7132802.767	0.00
7132812.768	0.00
7132822.768	0.00
7132832.719	0.00
7132842.719	0.00
7132852.769	0.00
7132862.720	0.00
7132872.770	0.00
7132882.771	0.00
7132892.721	0.00
7132902.772	0.00
7132912.772	0.00
7132922.722	0.00
7132932.723	0.00
7132942.773	0.00
7132952.724	0.00
7132962.774	0.00
7132972.775	0.00
7132982.775	0.00
7132992.725	0.00
7133002.776	0.00
7133012.776	0.00
7133022.777	0.00
7133032.777	0.00
7133042.778	0.00
7133052.728	0.00
7133062.778	0.00
7133072.779	0.00
7133082.779	0.00
7133092.730	0.00
7133102.780	0.00
7133112.781	0.00
7133122.781	0.00
7133132.731	0.00
7133142.782	0.00
7133152.732	0.00
7133162.733	0.00
7133172.783	0.00
7133182.783	0.00
7133192.734	0.00
7133202.784	0.00
7133212.735	0.00
7133222.785	0.00
7133232.786	0.00
7133242.736	0.00
7133252.786	0.00
7133262.737	0.00
7133272.787	0.00
7133282.788	0.00
7133292.788	0.00
7133302.789	0.00
7133312.789	0.00
7133322.789	0.00
7133332.740	0.00
7133342.740	0.00
7133352.791	0.00
7133362.741	0.00
7133372.742	0.00
7133382.742	0.00
7133392.792	0.00
7133402.743	0.00
7133412.793	0.00
7133422.794	1.36
7133432.744	1.36
7133442.745	1.36
7133452.795	1.36
7133462.795	1.36
7133472.746	1.36
7133482.796	1.36
7133492.797	1.36
7133502.797	1.36
7133512.798	1.36
7133522.798	1.36
7133532.748	1.36
7133542.749	1.36
7133552.749	1.36
7133562.800	1.36
7133572.750	1.36
7133582.751	1.36
7133592.751	1.36
7133602.751	1.36
7133612.802	1.36
7133622.802	1.36
7133632.753	1.36
7133642.753	1.36
7133652.804	1.36
7133662.804	1.36
7133672.804	1.36
7133682.805	1.36
7133692.805	1.36
7133702.806	1.36
