#1			
float	DNI_THTFin_vdot(1779,4)		
7123112.507	0.9	300.46	0
7123122.457	1	300.43	0
7123132.457	1	300.42	0
7123142.458	1	300.41	0
7123152.458	1	300.4	0
7123162.509	1	300.39	0
7123172.509	1	300.37	0
7123182.46	0.9	300.35	0
7123192.51	1	300.32	0
7123202.46	1	300.3	0
7123212.461	1	300.26	0
7123222.461	1	300.23	0
7123232.512	1	300.21	0
7123242.462	0.9	300.17	0
7123252.463	1	300.16	0
7123262.463	1	300.15	0
7123272.513	0.9	300.15	0
7123282.464	0.9	300.13	0
7123292.514	0.9	300.11	0
7123302.515	1	300.12	0
7123312.515	0.9	300.11	0
7123322.466	1	300.1	0
7123332.516	1	300.1	0
7123342.516	1	300.1	0
7123352.517	1	300.07	0
7123362.517	1	300.05	0
7123372.468	1	300.04	0
7123382.468	1	300.03	0
7123392.519	1	300.01	0
7123402.519	1	299.99	0
7123412.519	1	299.96	0
7123422.52	1	299.95	0
7123432.52	1	299.92	0
7123442.521	1	299.91	0
7123452.471	1	299.9	0
7123462.472	0.9	299.87	0
7123472.472	1	299.87	0
7123482.522	0.9	299.85	0
7123492.473	0.9	299.85	0
7123502.523	1	299.82	0
7123512.524	1	299.81	0
7123522.524	0.9	299.8	0
7123532.475	1	299.78	0
7123542.475	1	299.78	0
7123552.525	1	299.75	0
7123562.476	0.9	299.74	0
7123572.476	1	299.74	0
7123582.527	0.9	299.73	0
7123592.477	0.9	299.73	0
7123602.478	1	299.73	0
7123612.478	1	299.7	0
7123622.478	1	299.69	0
7123632.529	0.9	299.7	0
7123642.529	1	299.71	0
7123652.48	0.9	299.69	0
7123662.48	1	299.69	0
7123672.531	0.9	299.66	0
7123682.531	0.9	299.65	0
7123692.481	1	299.66	0
7123702.482	0.9	299.65	0
7123712.482	1	299.64	0
7123722.533	0.9	298.09	0
7123732.483	0.9	298.31	0
7123742.484	1	298.31	0
7123752.534	1	298.38	0
7123762.484	0.9	298.54	0
7123772.535	1	298.68	0
7123782.535	0.9	298.78	0
7123792.486	1	298.86	0
7123802.486	0.9	299.26	0
7123812.537	0.9	300.35	0
7123822.487	0.9	301.17	0
7123832.537	1	300.56	0
7123842.538	1	300.46	0
7123852.538	1	300.34	0
7123862.539	1	300.24	0
7123872.489	0.9	300.17	0
7123882.54	0.9	300.09	0
7123892.49	1	300.03	0
7123902.54	0.9	300	0
7123912.491	0.9	299.95	0
7123922.491	1	299.92	0
7123932.542	1	299.9	0
7123942.542	0.9	299.88	0
7123952.543	1	299.88	0
7123962.543	1	299.86	0
7123972.493	0.9	299.85	0
7123982.544	1	299.83	0
7123992.544	1	299.83	0
7124002.545	1	299.82	0
7124012.495	1	299.83	0
7124022.546	1	299.8	0
7124032.546	1	299.8	0
7124042.496	1	299.79	0
7124052.497	1	299.78	0
7124062.497	0.9	299.77	0
7124072.548	0.9	299.78	0
7124082.548	1	299.76	0
7124092.549	1	299.76	0
7124102.549	1	299.75	0
7124112.549	1	299.74	0
7124122.5	1	299.73	0
7124132.5	0.9	299.74	0
7124142.501	1	299.71	0
7124152.501	0.9	299.72	0
7124162.502	1	299.71	0
7124172.552	1	299.69	0
7124182.552	0.9	299.69	0
7124192.503	1	299.68	0
7124202.553	1	299.65	0
7124212.504	0.9	299.65	0
7124222.554	1	299.64	0
7124232.505	0.9	299.64	0
7124242.505	1	299.62	0
7124252.555	1	299.63	0
7124262.556	1	299.61	0
7124272.506	1	299.61	0
7124282.507	0.9	299.59	0
7124292.557	1	299.58	0
7124302.557	1	299.58	0
7124312.558	1	299.56	0
7124322.558	0.9	299.55	0
7124332.509	0.9	299.54	0
7124342.559	1	299.55	0
7124352.56	1	299.51	0
7124362.56	1	299.49	0
7124372.56	1	299.49	0
7124382.561	1	299.48	0
7124392.511	0.9	299.47	0
7124402.512	0.9	299.45	0
7124412.512	1	299.44	0
7124422.563	0.9	299.43	0
7124432.563	0.9	299.41	0
7124442.513	1	299.42	0
7124452.514	1	299.42	0
7124462.514	1	299.4	0
7124472.565	1	299.39	0
7124482.565	1	299.38	0
7124492.516	1	299.37	0
7124502.516	0.9	299.35	0
7124512.566	1	299.34	0
7124522.567	1	299.34	0
7124532.567	1	299.33	0
7124542.568	1	299.32	0
7124552.518	0.9	299.31	0
7124562.519	1	299.29	0
7124572.569	0.9	299.29	0
7124582.569	0.9	299.27	0
7124592.57	1	299.28	0
7124602.52	1	299.26	0
7124612.571	1	299.25	0
7124622.571	1	299.23	0
7124632.522	1	299.22	0
7124642.522	1	299.2	0
7124652.572	1	299.19	0
7124662.523	1	299.17	0
7124672.573	0.9	299.16	0
7124682.574	1	299.15	0
7124692.574	1	299.13	0
7124702.575	1	299.11	0
7124712.525	1	299.1	0
7124722.575	0.9	299.09	0
7124732.526	1	299.08	0
7124742.526	0.9	299.08	0
7124752.577	1	299.06	0
7124762.527	0.9	299.07	0
7124772.528	0.9	299.06	0
7124782.528	1	299.04	0
7124792.578	1	299.03	0
7124802.579	1	299.02	0
7124812.579	0.9	298.99	0
7124822.58	0.9	298.98	0
7124832.58	0.9	298.99	0
7124842.581	1	298.96	0
7124852.581	1	298.94	0
7124862.531	0.9	298.92	0
7124872.582	1	298.92	0
7124882.582	1	298.91	0
7124892.533	0.9	298.89	0
7124902.583	1	298.86	0
7124912.534	0.9	298.86	0
7124922.584	0.9	298.84	0
7124932.534	0.9	298.82	0
7124942.535	0.9	298.81	0
7124952.585	1	298.78	0
7124962.536	1	298.78	0
7124972.586	1	298.76	0
7124982.537	1	298.74	0
7124992.537	0.9	298.73	0
7125002.587	0.9	298.72	0
7125012.538	0.9	298.7	0
7125022.588	1	298.7	0
7125032.589	1	298.68	0
7125042.589	0.9	298.67	0
7125052.59	1	298.64	0
7125062.54	1	298.64	0
7125072.59	1	298.64	0
7125082.591	1	298.62	0
7125092.591	1	298.61	0
7125102.592	1	298.61	0
7125112.592	0.9	298.6	0
7125122.593	1	298.59	0
7125132.543	0.9	298.6	0
7125142.593	0.9	298.58	0
7125152.594	1	298.59	0
7125162.594	0.9	298.57	0
7125172.595	0.9	298.58	0
7125182.595	1	298.58	0
7125192.596	1	298.57	0
7125202.546	1	298.57	0
7125212.546	0.9	298.55	0
7125222.597	1	298.55	0
7125232.597	1	298.54	0
7125242.598	1	298.53	0
7125252.598	0.9	298.53	0
7125262.599	0.9	298.52	0
7125272.549	0.9	298.49	0
7125282.599	0.9	298.49	0
7125292.6	1	298.48	0
7125302.6	1	298.47	0
7125312.601	1	298.47	0
7125322.551	1	298.47	0
7125332.602	1	298.47	0
7125342.552	1	298.44	0
7125352.602	1	298.44	0
7125362.603	0.9	298.44	0
7125372.553	1	298.42	0
7125382.604	1	298.43	0
7125392.554	1	298.4	0
7125402.605	1	298.41	0
7125412.555	1	298.4	0
7125422.605	1	298.38	0
7125432.606	0.9	298.37	0
7125442.556	0.9	298.36	0
7125452.557	1	298.34	0
7125462.607	1	298.33	0
7125472.558	0.9	298.33	0
7125482.558	1	298.32	0
7125492.608	1	298.31	0
7125502.609	1	298.3	0
7125512.559	0.9	298.31	0
7125522.61	1	298.3	0
7125532.61	1	298.26	0
7125542.611	1	298.26	0
7125552.561	1	298.24	0
7125562.611	1	298.24	0
7125572.612	1	298.23	0
7125582.612	1	298.23	0
7125592.613	1	298.22	0
7125602.613	1	298.2	0
7125612.614	1	298.22	0
7125622.614	1	298.19	0
7125632.614	1	298.19	0
7125642.615	1	298.18	0
7125652.615	1	298.16	0
7125662.566	1	298.15	0
7125672.616	0.9	298.15	0
7125682.617	0.9	298.14	0
7125692.617	1	298.13	0
7125702.617	1	298.12	0
7125712.618	1	298.12	0
7125722.618	1	298.11	0
7125732.619	1	298.11	0
7125742.619	1	298.11	0
7125752.57	1	298.09	0
7125762.62	1	298.09	0
7125772.62	1	298.09	0
7125782.621	1	298.09	0
7125792.621	1	298.07	0
7125802.622	1	298.06	0
7125812.622	1	298.06	0
7125822.623	1	298.05	0
7125832.623	1	298.05	0
7125842.623	1	298.04	0
7125852.574	0.9	298.02	0
7125862.574	1	298.02	0
7125872.625	1	298.02	0
7125882.625	1	298.02	0
7125892.626	1	298	0
7125902.626	1	297.99	0
7125912.626	1	297.99	0
7125922.627	1	297.97	0
7125932.627	1	297.97	0
7125942.628	1	297.97	0
7125952.628	1	297.96	0
7125962.629	1	297.94	0
7125972.579	1	297.94	0
7125982.579	1	297.94	0
7125992.58	1	297.93	0
7126002.63	1.1	297.93	0
