#1	
float	Flow(1780,2)
7129462.574	0
7129472.625	0
7129482.625	0
7129492.626	0
7129502.626	0
7129512.626	0
7129522.627	0
7129532.627	0
7129542.628	0
7129552.628	0
7129562.629	0
7129572.579	0
7129582.579	0
7129592.58	0
7129602.63	0
7129612.631	0
7129622.631	0
7129632.582	0
7129642.582	0
7129652.582	0
7129662.633	0
7129672.583	0
7129682.584	0
7129692.634	0
7129702.635	0
7129712.585	0
7129722.585	0
7129732.636	0
7129742.636	0
7129752.637	0
7129762.637	0
7129772.638	0
7129782.638	0
7129792.638	0
7129802.639	0
7129812.589	0
7129822.64	0
7129832.64	0
7129842.641	0
7129852.641	0
7129862.591	0
7129872.642	0
7129882.592	0
7129892.643	0
7129902.643	0
7129912.644	0
7129922.594	0
7129932.594	0
7129942.595	0
7129952.595	0
7129962.596	0
7129972.646	0
7129982.647	0
7129992.597	0
7130002.597	0
7130012.648	0
7130022.648	0
7130032.599	0
7130042.649	0
7130052.6	0
7130062.6	0
7130072.65	0
7130082.651	0
7130092.651	0
7130102.652	0
7130112.652	0
7130122.603	0
7130132.653	0
7130142.653	0
7130152.654	0
7130162.654	0
7130172.605	0
7130182.655	0
7130192.606	0
7130202.606	0
7130212.606	0
7130222.657	0
7130232.657	0
7130242.658	0
7130252.658	0
7130262.659	0
7130272.659	0
7130282.609	0
7130292.61	0
7130302.66	0
7130312.661	0
7130322.611	0
7130332.662	0
7130342.662	0
7130352.662	0
7130362.613	0
7130372.663	0
7130382.614	0
7130392.614	0
7130402.615	0
7130412.665	0
7130422.665	0
7130432.666	0
7130442.666	0
7130452.617	0
7130462.617	0
7130472.618	0
7130482.668	0
7130492.668	0
7130502.669	0
7130512.619	0
7130522.67	0
7130532.67	0
7130542.67	0
7130552.671	0
7130562.621	0
7130572.672	0
7130582.622	0
7130592.673	0
7130602.673	0
7130612.673	0
7130622.624	0
7130632.674	0
7130642.625	0
7130652.625	0
7130662.676	0
7130672.676	0
7130682.676	0
7130692.677	0
7130702.627	0
7130712.678	0
7130722.678	0
7130732.629	0
7130742.679	0
7130752.629	0
7130762.68	0
7130772.63	0
7130782.681	0
7130792.631	0
7130802.632	0
7130812.682	0
7130822.632	0
7130832.633	0
7130842.683	0
7130852.634	0
7130862.684	0
7130872.635	0
7130882.685	0
7130892.635	0
7130902.636	0
7130912.636	0
7130922.637	0
