#1	
double	test(2502,2)
7129692.634	1.0
7129702.635	1.0
7129712.585	1.0
7129722.585	1.0
7129732.636	1.0
7129742.636	1.0
7129752.637	1.0
7129762.637	1.0
7129772.638	1.0
7129782.638	1.1
7129792.638	1.0
7129802.639	1.0
7129812.589	1.0
7129822.640	1.0
7129832.640	1.0
7129842.641	1.0
7129852.641	1.1
7129862.591	1.0
7129872.642	1.0
7129882.592	1.0
7129892.643	1.0
7129902.643	1.0
7129912.644	1.0
7129922.594	1.0
7129932.594	1.0
7129942.595	1.0
7129952.595	1.0
7129962.596	1.0
7129972.646	1.0
7129982.647	1.0
7129992.597	1.0
7130002.597	1.0
7130012.648	1.0
7130022.648	1.0
7130032.599	1.0
7130042.649	1.0
7130052.600	1.0
7130062.600	1.0
7130072.650	1.0
7130082.651	1.1
7130092.651	1.0
7130102.652	1.0
7130112.652	1.1
7130122.603	1.0
7130132.653	1.0
7130142.653	1.1
7130152.654	1.0
7130162.654	1.1
7130172.605	1.0
7130182.655	1.0
7130192.606	1.1
7130202.606	1.0
7130212.606	1.1
7130222.657	1.0
7130232.657	1.0
7130242.658	1.0
7130252.658	1.0
7130262.659	1.0
7130272.659	1.0
7130282.609	1.1
7130292.610	1.0
7130302.660	1.0
7130312.661	1.0
7130322.611	1.1
7130332.662	1.1
7130342.662	1.1
7130352.662	1.1
7130362.613	1.1
7130372.663	1.1
7130382.614	1.0
7130392.614	1.0
7130402.615	1.0
7130412.665	1.0
7130422.665	1.1
7130432.666	1.1
7130442.666	1.0
7130452.617	1.0
7130462.617	1.0
7130472.618	1.1
7130482.668	1.0
7130492.668	1.0
7130502.669	1.1
7130512.619	1.0
7130522.670	1.1
7130532.670	1.0
7130542.670	1.1
7130552.671	1.0
7130562.621	1.1
7130572.672	1.0
7130582.622	1.1
7130592.673	1.1
7130602.673	1.1
7130612.673	1.1
7130622.624	1.0
7130632.674	1.1
7130642.625	1.1
7130652.625	1.1
7130662.676	1.1
7130672.676	1.1
7130682.676	1.1
7130692.677	1.1
7130702.627	1.1
7130712.678	1.1
7130722.678	1.1
7130732.629	1.1
7130742.679	1.1
7130752.629	1.0
7130762.680	1.1
7130772.630	1.1
7130782.681	1.1
7130792.631	1.1
7130802.632	1.1
7130812.682	1.0
7130822.632	1.0
7130832.633	1.1
7130842.683	1.1
7130852.634	1.0
7130862.684	1.1
7130872.635	1.1
7130882.685	1.1
7130892.635	1.1
7130902.636	1.1
7130912.636	1.1
7130922.637	1.0
7130932.637	1.1
7130942.688	1.1
7130952.638	1.1
7130962.638	1.1
7130972.689	1.0
7130982.639	1.1
7130992.640	1.1
7131002.690	1.0
7131012.691	1.1
7131022.641	1.1
7131032.691	1.1
7131042.642	1.1
7131052.692	1.1
7131062.643	1.1
7131072.643	1.0
7131082.694	1.1
7131092.644	1.1
